Gene stable ID,Gene name
YER058W,PET117
YNL243W,SLA2
YGL220W,
YDL186W,
YER110C,KAP123
YLL027W,ISA1
YER135C,
YOL060C,MAM3
YCL051W,LRE1
YBL049W,MOH1
YOL102C,TPT1
YGR065C,VHT1
YMR292W,GOT1
YBL021C,HAP3
YPR026W,ATH1
YLR421C,RPN13
YHR054W-A,
tY(GUA)J2,SUP4
YPR154W,PIN3
YAL058W,CNE1
YDR119W-A,COX26
YJR055W,HIT1
YMR273C,ZDS1
YHL008C,
YNL212W,VID27
YDR429C,TIF35
YCL027W,FUS1
YCR030C,SYP1
YGR048W,UFD1
YPL249C,GYP5
YLR165C,PUS5
YDR220C,
YDR263C,DIN7
YBR187W,GDT1
YOR244W,ESA1
YBR201C-A,
YBR074W,
YDL195W,SEC31
YDR007W,TRP1
YOL014W,
YLR059C,REX2
YML130C,ERO1
YBR223C,TDP1
tP(UGG)Q,
YCR018C-A,
YER019W,ISC1
YIR016W,
YIL069C,RPS24B
YLR440C,SEC39
YIL102C,
YER042W,MXR1
YBL069W,AST1
YML116W,ATR1
YHR058C,MED6
YMR265C,
YDL169C,UGX2
YPL109C,
YPL204W,HRR25
YLR365W,
YOR047C,STD1
YLR222C,UTP13
YPR183W,DPM1
YOR396C-A,
YER077C,MRX1
YDR348C,PAL1
YKL030W,
YGR295C,COS6
YER039C,HVG1
YPL230W,USV1
YFL007W,BLM10
YLR371W,ROM2
YMR061W,RNA14
YPL159C,PET20
YMR288W,HSH155
YMR166C,MME1
YHR142W,CHS7
YJR111C,PXP2
YPL152W,RRD2
YJR113C,RSM7
YDR230W,
YDR131C,
YEL020W-A,TIM9
YLR116W,MSL5
YIR040C,
YLR013W,GAT3
YBR125C,PTC4
YPL216W,
YOR290C,SNF2
YEL012W,UBC8
YLR179C,
YDR297W,SUR2
YBR191W,RPL21A
YKL060C,FBA1
tV(AAC)G2,
YDL215C,GDH2
YJL205C,NCE101
YGL133W,ITC1
YOR355W,GDS1
YIL061C,SNP1
YGR078C,PAC10
YJR020W,
YAR068W,
YLR417W,VPS36
YDL129W,
YPR064W,
YPL082C,MOT1
YMR101C,SRT1
YBR299W,MAL32
YDL088C,ASM4
YKR034W,DAL80
tF(GAA)G,
YOR199W,
YOR005C,DNL4
YCR081W,SRB8
YHR143W-A,RPC10
YMR296C,LCB1
YMR212C,EFR3
YDR039C,ENA2
YFL027C,GYP8
YJL075C,APQ13
tF(GAA)B,
YBR219C,
YBL032W,HEK2
YFR039C,OSW7
YER184C,TOG1
YBR114W,RAD16
YBR267W,REI1
RDN5-1,RDN5-1
tH(GUG)G2,
YIL009C-A,EST3
YMR153C-A,
YPL035C,
YDR075W,PPH3
YER060W-A,FCY22
tI(AAU)I1,
YNL135C,FPR1
YPR107C,YTH1
tX(XXX)L,
YOL001W,PHO80
YNL032W,SIW14
YHR060W,VMA22
YOR187W,TUF1
YMR127C,SAS2
YDL223C,HBT1
YDR156W,RPA14
YDR167W,TAF10
YLL065W,YLL065W
YGR281W,YOR1
YIL060W,
YJL015C,
YPL146C,NOP53
YGL148W,ARO2
YPR133W-A,TOM5
YAL044C,GCV3
YOR151C,RPB2
YNL046W,
YJL003W,COX16
YEL058W,PCM1
tV(AAC)O,
YNL325C,FIG4
YLR369W,SSQ1
YGL004C,RPN14
YJL196C,ELO1
YPR015C,
YMR013C,SEC59
YHL013C,OTU2
YER165W,PAB1
YIL089W,
YNL062C,GCD10
YML059C,NTE1
YML086C,ALO1
YPL036W,PMA2
YOR161C-C,
YBL061C,SKT5
YIL166C,
YHR216W,IMD2
YER182W,FMP10
YGR190C,
YKR005C,
YJR162C,
YMR186W,HSC82
YJL152W,
YMR169C,ALD3
YDR274C,
tI(AAU)E1,
YBL083C,
YCL056C,PEX34
YGL223C,COG1
YJL098W,SAP185
YOR396W,YRF1-8
YJL120W,
YLR332W,MID2
snR71,SNR71
YNL285W,
YIL029W-A,
YOL066C,RIB2
YNL247W,
YPR102C,RPL11A
YBR287W,YBR287W
YGL007C-A,
YGL175C,SAE2
YHR071W,PCL5
YIL095W,PRK1
YHR107C,CDC12
YOL166W-A,
YLR050C,
YCR010C,ADY2
YNL161W,CBK1
YOR055W,YOR055W
YGL063C-A,
YMR306W,FKS3
YAR066W,
YGL128C,CWC23
YPR048W,TAH18
YLR345W,
YPR140W,TAZ1
YKL208W,CBT1
Q0045,COX1
YKL058W,TOA2
YGL030W,RPL30
YHR209W,CRG1
YJL082W,IML2
YKR017C,HEL1
YER126C,NSA2
YDR110W,FOB1
YKR040C,
YGL033W,HOP2
tG(CCC)D,SUF3
YKL046C,DCW1
YLR236C,
YGR165W,MRPS35
YML103C,NUP188
YFL010W-A,AUA1
YNL338W,
YGR193C,PDX1
YJL197C-A,
YLR439W,MRPL4
YKL001C,MET14
YKL078W,DHR2
YJL062W,LAS21
YPL245W,
YBR058C-A,TSC3
YNL106C,INP52
YNL204C,SPS18
YDR211W,GCD6
YDL109C,
YIL111W,COX5B
YOR117W,RPT5
YOR074C,CDC21
YKL223W,
YPL170W,DAP1
YHR072W,ERG7
YOR077W,RTS2
YAL043C,PTA1
YPL283W-A,
YEL075W-A,YEL075W-A
YPL115C,BEM3
YBR268W,MRPL37
YJR022W,LSM8
YER025W,GCD11
YPL226W,NEW1
YLR348C,DIC1
YNL320W,
YEL070W,DSF1
YMR034C,RCH1
YJL178C,ATG27
YMR310C,
YKL132C,RMA1
YBR286W,APE3
YKR032W,
YOL163W,
YDR524C-A,YDR524C-A
YGR044C,RME1
YJL133C-A,
YCR023C,
YLR057W,MNL2
YIL024C,
YHR131W-A,
YJL141C,YAK1
YPR192W,AQY1
YOR304W,ISW2
YLR009W,RLP24
YDL050C,
YEL048C,TCA17
snR64,SNR64
YBR196C-A,
YLL024C,SSA2
YOR255W,OSW1
YNL141W,AAH1
YDR535C,
YML034W,SRC1
YDR202C,RAV2
YBL091C-A,SCS22
YER099C,PRS2
YGL002W,ERP6
YMR131C,RRB1
YGL123C-A,
YLL048C,YBT1
YPL150W,
YBR113W,
YCL067C,HMLALPHA2
YMR263W,SAP30
YOR289W,
YCL025C,AGP1
YDL132W,CDC53
YKL186C,MTR2
YCL043C,PDI1
YOL100W,PKH2
tL(CAA)G3,
YML031C-A,YML031C-A
YDR034C-A,
YOR337W,TEA1
YDL013W,SLX5
YDR534C,FIT1
YLR157C,ASP3-2
YGL039W,
YCR012W,PGK1
YOL086W-A,MHF1
YHR049W,FSH1
YMR113W,FOL3
YPL055C,LGE1
YBR213W,MET8
YLR226W,BUR2
YCR075C,ERS1
YDR392W,SPT3
YAL051W,OAF1
YPL079W,RPL21B
YDR178W,SDH4
YDR121W,DPB4
YJL013C,MAD3
YDL063C,SYO1
Q0060,AI3
YJL109C,UTP10
YJR155W,AAD10
YKL177W,
YDR435C,PPM1
YIL012W,
YDR461W,MFA1
YHR111W,UBA4
YNL033W,
YDR455C,
YKL072W,STB6
YKL003C,MRP17
YMR314W,PRE5
YHR139C-A,
YLR070C,XYL2
YDL069C,CBS1
YBR183W,YPC1
YER026C,CHO1
YOL083C-A,
YDR073W,SNF11
YDL017W,CDC7
YCR093W,CDC39
YML051W,GAL80
YLL002W,RTT109
YPL068C,
YIL090W,ICE2
YNL018C,
YBR050C,REG2
YMR081C,ISF1
YBL097W,BRN1
YJL049W,CHM7
YLR334C,
YMR231W,PEP5
YGR107W,
YBR172C,SMY2
YIL021C-A,
YDR260C,SWM1
YKL165C,MCD4
YPR175W,DPB2
YOR097C,
YDR210W,
YLR062C,BUD28
YNL024C,EFM6
YLR339C,
YLR305C,STT4
tT(UGU)P,
YNR024W,MPP6
YDL130W-A,STF1
YPR022C,SDD4
YPL161C,BEM4
YLR107W,REX3
tR(UCU)Q1,
YJR135C,MCM22
YLR139C,SLS1
YKL085W,MDH1
snR54,SNR54
YGR017W,
YDR322C-A,TIM11
YFL021C-A,
YOL123W,HRP1
YCR026C,NPP1
tD(GUC)B,
YHR205W,SCH9
YLR038C,COX12
tR(UCU)G3,
YCR044C,PER1
YNL160W,YGP1
YLR182W,SWI6
YJL191W,RPS14B
YDR139C,RUB1
YGL019W,CKB1
YHR183W,GND1
YLR132C,USB1
YLR064W,PER33
YER107W-A,
YER174C,GRX4
YDL043C,PRP11
YFR031C,SMC2
YGL231C,EMC4
tH(GUG)E1,
YOR195W,SLK19
tI(AAU)I2,
snR67,SNR67
YML107C,PML39
YDL093W,PMT5
tL(CAA)G2,SUP54
YNR035C,ARC35
YGL027C,CWH41
YNL303W,
YBR208C,"DUR1,2"
tR(UCU)M1,
YBL020W,RFT1
YER067C-A,
YER090C-A,
YGR129W,SYF2
YKR060W,UTP30
YNR061C,
YJR141W,IPA1
YBR148W,YSW1
YBR164C,ARL1
YGR140W,CBF2
YOR305W,RRG7
YGL126W,SCS3
YGR088W,CTT1
YBR112C,CYC8
YCR047C,BUD23
YCR067C,SED4
YHR187W,IKI1
YHR005C,GPA1
YCL050C,APA1
tK(CUU)M,
YDR333C,RQC1
YKL045W,PRI2
YIL122W,POG1
YNL176C,TDA7
YBL019W,APN2
YKL043W,PHD1
YPL110C,GDE1
YDR527W,RBA50
YGL172W,NUP49
tV(UAC)B,
YER112W,LSM4
YOR200W,
YHR212C,
YHR079C-A,SAE3
YPR114W,
YKR065C,PAM17
YJR054W,KCH1
YPL050C,MNN9
YGL139W,FLC3
YHR010W,RPL27A
tT(UGU)G1,
YBR088C,POL30
YML067C,ERV41
YMR147W,
YDR020C,DAS2
YMR272W-B,
YHL005C,
YPR158W,CUR1
YIR036C,IRC24
YDR030C,RAD28
YPL274W,SAM3
YLR437C-A,
YDL067C,COX9
YMR049C,ERB1
YGL258W,VEL1
YBR055C,PRP6
YJL094C,KHA1
YGR225W,AMA1
YMR038C,CCS1
YFR033C,QCR6
YMR247W-A,
YMR062C,ARG7
YJL023C,PET130
YCL014W,BUD3
YJL166W,QCR8
YJL214W,HXT8
YER097W,
YNL274C,GOR1
YJL126W,NIT2
YOR205C,GEP3
YNL164C,IBD2
YER165C-A,
YJR097W,JJJ3
YOR192C-C,
YPR097W,
YMR323W,ERR3
tR(ACG)O,
YJR070C,LIA1
YDL179W,PCL9
YBR266C,SLM6
YKR075C,
YDL102W,POL3
YCL058C,FYV5
YJL215C,
YMR234W,RNH1
YLR454W,FMP27
YLR212C,TUB4
YPL011C,TAF3
YNL013C,
YGL014C-A,
YJL105W,SET4
YDR182W,CDC1
YBL071W-A,KTI11
YBR269C,SDH8
YLR451W,LEU3
YHR089C,GAR1
YGR135W,PRE9
YLR162W,
YER041W,YEN1
YDR006C,SOK1
YCL017C,NFS1
YLR076C,
YGR070W,ROM1
YDR010C,
YOR136W,IDH2
YER074W-A,YOS1
tY(GUA)O,SUP3
YPR081C,GRS2
YDR498C,SEC20
YJR104C,SOD1
YLR147C,SMD3
YDL224C,WHI4
YHR162W,MPC2
YFR054C,
YGR229C,SMI1
YLR005W,SSL1
YDR082W,STN1
YJL124C,LSM1
YBL107W-A,
YDR216W,ADR1
YCR068W,ATG15
YGR161W-C,
YNL083W,SAL1
YKL106W,AAT1
YLR115W,CFT2
YDR325W,YCG1
ICR1,ICR1
YHL050C,
YGL249W,ZIP2
YJL053W,PEP8
YDR372C,VPS74
YGR173W,RBG2
YAR042W,SWH1
YPL273W,SAM4
RDN5-6,RDN5-6
YDL222C,FMP45
YIL087C,AIM19
YNR027W,BUD17
YCR095C,OCA4
YER162C,RAD4
YER090W,TRP2
YGL215W,CLG1
YBR016W,
YFL025C,BST1
YLR208W,SEC13
YHR030C,SLT2
YDR395W,SXM1
YMR282C,AEP2
YMR056C,AAC1
YPL203W,TPK2
YIL041W,GVP36
YDL210W,UGA4
YLR149C,
YGL005C,COG7
YDR132C,
YOR161W-B,
YBR015C,MNN2
YER156C,
YLL039C,UBI4
YPL214C,THI6
YGL007W,BRP1
YFR025C,HIS2
YGL245W,GUS1
YDR464W,SPP41
YBR037C,SCO1
YDR154C,
YAL068C,PAU8
YPR059C,
YFL063W,
YGL141W,HUL5
YEL014C,
YGL251C,HFM1
YPR091C,NVJ2
YFL013W-A,
YJL116C,NCA3
YDR341C,YDR341C
YKL012W,PRP40
YBL078C,ATG8
YAR035C-A,
YGR234W,YHB1
YPR126C,
YPL117C,IDI1
YLR434C,
YPL120W,VPS30
YMR153W,NUP53
YGR267C,FOL2
YJR003C,MRX12
YHR193C,EGD2
YEL030C-A,
YPL048W,CAM1
YNL132W,KRE33
YOL080C,REX4
YDR444W,
YPL083C,SEN54
YGR271C-A,EFG1
YDR419W,RAD30
YIR009W,MSL1
snR189,SNR189
YOR254C,SEC63
YCL066W,HMLALPHA1
YKR020W,VPS51
YIL033C,BCY1
YJL115W,ASF1
YPR041W,TIF5
YOR218C,
YIR010W,DSN1
YOR147W,MDM32
YGL101W,
YNL172W,APC1
YMR031W-A,
YGL053W,PRM8
YKL042W,SPC42
YGR253C,PUP2
YHR159W,TDA11
YJL169W,
YHR199C,AIM46
YBR185C,MBA1
YKL037W,AIM26
YDR423C,CAD1
tM(CAU)E,IMT4
YJL035C,TAD2
YOL093W,TRM10
YDR017C,KCS1
YIL036W,CST6
YJR089W,BIR1
YPL124W,SPC29
YLR354C,TAL1
YJL042W,MHP1
YEL053W-A,
YDR005C,MAF1
YJR107W,LIH1
YLR422W,DCK1
YDR098C,GRX3
YKR030W,GMH1
YPL232W,SSO1
YMR001C-A,
YCR099C,
tV(UAC)D,
YAL019W-A,
YGL135W,RPL1B
YDR280W,RRP45
YJL154C,VPS35
YIL113W,SDP1
YLR387C,REH1
YDR328C,SKP1
YJL155C,FBP26
YOR109W,INP53
YLR386W,VAC14
YDR185C,UPS3
YHR129C,ARP1
YNR010W,CSE2
YIR007W,EGH1
YPR027C,
YJL004C,SYS1
YDL042C,SIR2
YGL069C,YGL069C
YPL095C,EEB1
YIR035C,
YKL159C,RCN1
YPR127W,
YFR037C,RSC8
YKL161C,KDX1
YLR061W,RPL22A
YNL330C,RPD3
YER079C-A,
YHL011C,PRS3
YIL114C,POR2
YPL243W,SRP68
YDR541C,
YBR277C,
YOR108C-A,
YNL016W,PUB1
YEL009C,GCN4
YNL316C,PHA2
YNR003C,RPC34
YLR380W,CSR1
YMR013C-A,
YNL113W,RPC19
YKL079W,SMY1
YDR056C,EMC10
YDL240W,LRG1
YJR102C,VPS25
YKR095W-A,PCC1
YPR138C,MEP3
YOR225W,
YGL108C,
YGL221C,NIF3
YDR183C-A,
YCR050C,
YOR028C,CIN5
YOR169C,
YBR186W,PCH2
YOR080W,DIA2
YBL006C,LDB7
YOR235W,IRC13
YER036C,ARB1
YLR442C,SIR3
YLR024C,UBR2
YLR326W,
YIL013C,PDR11
YLR122C,
YJR015W,
YLR396C,VPS33
YER084W-A,
YHL046W-A,
tQ(UUG)Q,
YLR042C,
YEL056W,HAT2
tK(CUU)G2,
YER140W,EMP65
YNL298W,CLA4
YPR055W,SEC8
YOL126C,MDH2
YPL206C,PGC1
YIR006C,PAN1
YGL205W,POX1
tP(UGG)N1,
tR(CCG)L,TRR4
YGR290W,
YGR022C,
YOL121C,RPS19A
YLR183C,TOS4
YIL145C,PAN6
YNL139C,THO2
YBR274W,CHK1
YJL071W,ARG2
YLL028W,TPO1
YER091C-A,
YGR189C,CRH1
YHR152W,SPO12
YPL283C,YRF1-7
YJR118C,ILM1
YLR130C,ZRT2
YDR184C,ATC1
YPL268W,PLC1
YGR185C,TYS1
YOR016C,ERP4
YHL019W-A,
YHR039C,MSC7
YPL021W,ECM23
YNL047C,SLM2
YDR122W,KIN1
YGR169C-A,
YBR235W,VHC1
YHR114W,BZZ1
YLR306W,UBC12
YDR054C,CDC34
YOR138C,RUP1
YLR351C,NIT3
YKR077W,MSA2
YMR032W,HOF1
YMR228W,MTF1
YLR242C,ARV1
YJR123W,RPS5
YOL068C,HST1
YNL282W,POP3
YMR146C,TIF34
YCR084C,TUP1
YLR428C,
YNL096C,RPS7B
YMR251W-A,HOR7
YBR046C,ZTA1
YER059W,PCL6
YIR017W-A,
YLR265C,NEJ1
YJL046W,AIM22
YEL061C,CIN8
YOR165W,SEY1
YIL148W,RPL40A
YOR011W-A,
YAL041W,CDC24
YDR424C,DYN2
YDR194C,MSS116
YGR239C,PEX21
YBR108W,AIM3
YAL044W-A,BOL1
YOL023W,IFM1
YBR076C-A,
YPL046C,ELC1
YDR141C,DOP1
YDR288W,NSE3
YBR194W,AIM4
YGR201C,
tL(UAA)L,
YCR090C,
YLR461W,PAU4
YER190C-B,
YOL108C,INO4
YJR148W,BAT2
YJL123C,MTC1
YHR218W,
YMR247C,RKR1
YOL086C,ADH1
YNL287W,SEC21
YLL064C,PAU18
YCR013C,
YMR152W,YIM1
YEL051W,VMA8
YNL095C,
YHR021W-A,ECM12
YOL028C,YAP7
YMR267W,PPA2
YJL065C,DLS1
YLR154C,RNH203
YFL001W,DEG1
YMR230W,RPS10B
YCL073C,GEX1
YIL054W,
YGR056W,RSC1
YLR154W-A,YLR154W-A
YDR051C,DET1
YNR060W,FRE4
YDR353W,TRR1
YKL089W,MIF2
tR(UCU)J1,
YBR018C,GAL7
YKL044W,MMO1
YEL063C,CAN1
YHR053C,CUP1-1
YPR010C,RPA135
YLR199C,PBA1
YDR021W,FAL1
YER119C-A,
YGL041C-B,
YBR292C,
YPR079W,MRL1
YDL194W,SNF3
YDR049W,VMS1
YMR039C,SUB1
YKL026C,GPX1
YMR128W,ECM16
YDR209C,
YER133W-A,
YIL177C,
YGL238W,CSE1
YOR087W,YVC1
YPR095C,SYT1
YPL016W,SWI1
YJL041W,NSP1
YJR122W,IBA57
tE(UUC)E3,
YER074W,RPS24A
YGL109W,
YPL251W,
YGL234W,"ADE5,7"
YJL033W,HCA4
YNL339C,YRF1-6
YBR066C,NRG2
YOL133W,HRT1
YDR388W,RVS167
YMR269W,TMA23
YPL260W,CUB1
YHR200W,RPN10
YKL145W-A,
tE(UUC)I,
YMR188C,MRPS17
YGR264C,MES1
YHR069C,RRP4
YDR233C,RTN1
YBL048W,RRT1
YLR095C,IOC2
YBR196C-B,
YDR235W,PRP42
YNR063W,
tL(CAA)G1,
YOL018C,TLG2
YEL013W,VAC8
YJL091C,GWT1
YOR045W,TOM6
YER087C-B,SBH1
YHR041C,SRB2
YER056C,FCY2
YBR095C,RXT2
YHL049C,
YDL118W,
YBL011W,SCT1
YGR293C,
YDL137W,ARF2
YDL193W,NUS1
YOR186W,
YMR102C,
YCL061C,MRC1
YBL102W,SFT2
YDR509W,
YOR065W,CYT1
YEL001C,IRC22
YGL164C,YRB30
YJL045W,YJL045W
YOR201C,MRM1
YKL006C-A,SFT1
YHR028W-A,
YPL173W,MRPL40
YBL105C,PKC1
YLR162W-A,RRT15
YKL164C,PIR1
YLR462W,
YPR098C,
YDR490C,PKH1
RDN37-2,RDN37-2
YDR516C,EMI2
YKR096W,ESL2
YIL173W,VTH1
YMR171C,EAR1
tQ(UUG)D1,
YGR236C,SPG1
YML029W,USA1
snR38,SNR38
YJL069C,UTP18
YNR037C,RSM19
YEL022W,GEA2
YKL054C,DEF1
snR190,SNR190
YBL090W,MRP21
YDR347W,MRP1
YFR032C,RRT5
YJL130C,URA2
YMR090W,
YHR042W,NCP1
YGL124C,MON1
YPL156C,PRM4
YGR235C,
YJR087W,
tK(CUU)I,
YLR148W,PEP3
YDR445C,
YOR073W,SGO1
YER148W,SPT15
YML124C,TUB3
YDR452W,PPN1
YGR117C,
YDL196W,
YGR254W,ENO1
snR47,SNR47
YER188C-A,
YLR243W,GPN3
YMR293C,HER2
YJL218W,
YDR437W,GPI19
YOR064C,YNG1
YBR138C,YBR138C
YCR082W,AHC2
YKL147C,
YAR015W,ADE1
YJL057C,IKS1
YDR529C,QCR7
YBR178W,
YER086W,ILV1
YOR003W,YSP3
YOR051C,ETT1
YOL159C-A,
YNL081C,SWS2
YGL031C,RPL24A
YGL085W,LCL3
YDL238C,GUD1
YMR069W,NAT4
YDL078C,MDH3
YFR016C,
YGR280C,PXR1
YIL001W,
YDR303C,RSC3
YAL033W,POP5
YCR028C,FEN2
YLR218C,COA4
YKL212W,SAC1
YMR119W-A,
YML105C,SEC65
YDR440W,DOT1
YNL328C,MDJ2
YJL151C,SNA3
YJR047C,ANB1
YML072C,TCB3
YIR028W,DAL4
YJL138C,TIF2
YOL040C,RPS15
YOR351C,MEK1
YFR051C,RET2
YHR038W,RRF1
YPR054W,SMK1
YDR314C,RAD34
YDR467C,
YOR329C,SCD5
YLR028C,ADE16
YER045C,ACA1
YFR010W-A,
YPR144C,NOC4
YPL249C-A,RPL36B
YLR043C,TRX1
YMR125W,STO1
YDL134C,PPH21
YGR121C,MEP1
YMR325W,PAU19
YPR128C,ANT1
YER088W-B,
YMR141W-A,
YDR117C,TMA64
tK(CUU)K,
YGL043W,DST1
YGR139W,
YOR156C,NFI1
YDL226C,GCS1
YJL121C,RPE1
YGL182C,
YGR061C,ADE6
YHR158C,KEL1
YGR213C,RTA1
YML070W,DAK1
YOL038C-A,
YCL064C,CHA1
YBR144C,
YMR015C,ERG5
YML071C,COG8
YFR028C,CDC14
YOR129C,AFI1
YIL088C,AVT7
tV(UAC)Q,
tT(AGU)H,
YMR145C,NDE1
YJL222W,VTH2
YDR517W,GRH1
YLR178C,TFS1
YDR371C-A,
tF(GAA)P1,
YNL258C,DSL1
YLR441C,RPS1A
YGR119C,NUP57
YJR013W,GPI14
YIR027C,DAL1
YDR246W-A,
